imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0010323,Das Cabinet des Dr. Caligari,1920,1920-02-27,"Fantasy, Horror, Mystery",76,Germany,German,8.1,18000,0.08811
tt0012190,The Four Horsemen of the Apocalypse,1921,1923-04-16,"Drama, Romance, War",150,USA,None,7.2,800000,91.83673
tt0012349,The Kid,1921,1923-11-26,"Comedy, Drama, Family",68,USA,"English, None",8.3,250000,0.26916
tt0014624,A Woman of Paris: A Drama of Fate,1923,1927-06-06,"Drama, Romance",82,USA,"None, English",7.0,351000,0.11233
tt0015864,The Gold Rush,1925,1925-10-23,"Adventure, Comedy, Drama",95,USA,"English, None",8.2,923000,0.26916
tt0018455,Sunrise: A Song of Two Humans,1927,1928-03-31,"Drama, Romance",94,USA,English,8.1,200000,1.21107
tt0018528,The Unknown,1927,1928-04-09,"Drama, Horror, Romance",63,USA,English,7.8,217000,0.04841
tt0018578,Wings,1927,1929-01-05,"Drama, Romance, War",144,USA,English,7.5,2000000,0.00746
tt0018773,The Circus,1928,1928-10-01,"Comedy, Romance",72,USA,English,8.1,900000,0.26916
tt0021106,Madam Satan,1930,1930-09-20,"Comedy, Drama, Musical",116,USA,English,6.5,980000,0.01005
tt0021749,City Lights,1931,1931-04-02,"Comedy, Drama, Romance",87,USA,English,8.5,1500000,0.46008
tt0021814,Dracula,1931,1931-02-14,"Drama, Fantasy, Horror",75,USA,"English, Hungarian, Latin",7.5,355000,0.85204
tt0021884,Frankenstein,1931,1935-12-02,"Drama, Horror, Romance",70,USA,"English, Latin",7.8,291000,0.01626
tt0022835,Dr. Jekyll and Mr. Hyde,1931,1932-01-03,"Horror, Sci-Fi",98,USA,English,7.6,535000,0.16615
tt0022913,Freaks,1932,1932-02-20,"Drama, Horror",64,USA,"English, German, French",7.9,310607,0.04072
tt0024034,42nd Street,1933,1933-09-16,"Comedy, Musical, Romance",89,USA,English,7.4,439000,0.016
tt0024216,King Kong,1933,1933-12-02,"Adventure, Horror, Sci-Fi",100,USA,English,7.9,670000,0.00651
tt0025164,The Gay Divorcee,1934,1934-10-12,"Comedy, Musical, Romance",107,USA,"English, French, Italian",7.5,520000,0.0675
tt0025746,The Scarlet Empress,1934,1934-11-09,"Drama, History, Romance",104,USA,English,7.6,900000,0.03299
tt0026138,Bride of Frankenstein,1935,1940-06-13,"Drama, Horror, Sci-Fi",75,USA,English,7.8,397024,0.10493
tt0026276,The Devil Is a Woman,1935,1935-11-09,"Comedy, Drama, Romance",79,USA,"English, Spanish",7.0,800000,0.02375
tt0026942,Roberta,1935,1935-03-08,"Comedy, Musical, Romance",106,USA,"English, French, Russian",7.1,610000,0.02493
