imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0007183,Pikovaya dama,1916,1916-04-01,"Drama, Fantasy, Horror",63,Russia,Russian,7.0,,$ 144968
tt0010323,Das Cabinet des Dr. Caligari,1920,1920-02-27,"Fantasy, Horror, Mystery",76,Germany,German,8.1,$ 18000,$ 8811
tt0011440,Markens grøde,1921,1921-12-02,Drama,107,Norway,,6.6,NOK 250000,$ 4272
tt0011741,Suds,1920,1920-01-27,"Comedy, Drama, Romance",75,USA,English,6.3,,$ 772155
tt0012190,The Four Horsemen of the Apocalypse,1921,1923-04-16,"Drama, Romance, War",150,USA,None,7.2,$ 800000,$ 9183673
tt0012349,The Kid,1921,1923-11-26,"Comedy, Drama, Family",68,USA,"English, None",8.3,$ 250000,$ 26916
tt0012397,Little Lord Fauntleroy,1921,1921-09-15,Drama,112,USA,English,6.7,,$ 1108882
tt0012494,Der müde Tod,1921,1925,"Drama, Fantasy, Thriller",97,Germany,German,7.7,,$ 12156
tt0013442,"Nosferatu, eine Symphonie des Grauens",1922,1922-03-04,"Fantasy, Horror",94,Germany,German,7.9,,$ 19054
tt0014624,A Woman of Paris: A Drama of Fate,1923,1927-06-06,"Drama, Romance",82,USA,"None, English",7.0,$ 351000,$ 11233
tt0015532,Die Abenteuer des Prinzen Achmed,1926,1928,"Animation, Adventure, Family",80,Germany,None,7.8,,$ 100156
tt0015648,Bronenosets Potemkin,1925,1960-04-07,"Drama, History, Thriller",75,Soviet Union,Russian,8.0,,$ 61389
tt0015864,The Gold Rush,1925,1925-10-23,"Adventure, Comedy, Drama",95,USA,"English, None",8.2,$ 923000,$ 26916
tt0016039,The Lost World,1925,1925-06-22,"Adventure, Fantasy, Thriller",110,USA,,7.0,,$ 2834000
tt0016220,The Phantom of the Opera,1925,1925-11-15,Horror,93,USA,,7.6,,$ 4360000
tt0017075,The Lodger: A Story of the London Fog,1927,1927-02-14,"Crime, Drama, Mystery",68,UK,None,7.3,GBP 12000,$ 83260
tt0017136,Metropolis,1927,1928-10-01,"Drama, Sci-Fi",153,Germany,German,8.3,DEM 6000000,$ 1349711
tt0018192,Napoléon vu par Abel Gance,1927,1927-04-07,"Biography, Drama, History",240,France,,8.1,FRF 20000000,$ 39448
tt0018455,Sunrise: A Song of Two Humans,1927,1928-03-31,"Drama, Romance",94,USA,English,8.1,$ 200000,$ 121107
tt0018528,The Unknown,1927,1928-04-09,"Drama, Horror, Romance",63,USA,English,7.8,$ 217000,$ 4841
tt0018578,Wings,1927,1929-01-05,"Drama, Romance, War",144,USA,English,7.5,$ 2000000,$ 746
tt0018737,Die Büchse der Pandora,1929,1930-02-22,"Crime, Drama, Romance",109,Germany,German,7.9,,$ 62686
tt0018742,The Cameraman,1928,1970-12-19,"Comedy, Drama, Family",76,USA,English,8.1,,$ 1737460
tt0018773,The Circus,1928,1928-10-01,"Comedy, Romance",72,USA,English,8.1,$ 900000,$ 26916
tt0019130,The Man Who Laughs,1928,1929-02-01,"Drama, Horror, Mystery",110,USA,English,7.7,,$ 4347
tt0019254,La passion de Jeanne d'Arc,1928,1929-01-18,"Biography, Drama, History",110,France,French,8.1,,$ 21877
tt0019374,Shiraz,1928,1929-10-21,"Drama, History, Romance",97,"India, UK, Germany",,7.0,,$ 16467
tt0019388,The Singing Fool,1928,1929-04-19,"Musical, Drama",105,USA,English,6.2,,$ 12862000
tt0019936,Gold Diggers of Broadway,1929,1929-08-30,"Comedy, Musical",101,USA,English,6.7,,$ 8648060
tt0019993,The Hollywood Revue of 1929,1929,1929-11-23,"Comedy, Music",130,USA,English,5.9,,$ 5277780
tt0020286,Prapancha Pash,1929,2008,"Adventure, Drama, Romance",74,"UK, India, Germany",English,6.5,,$ 2306
tt0020697,Der blaue Engel,1930,1931-02-25,"Drama, Music",104,Germany,"German, English, French",7.7,,$ 4410
tt0021106,Madam Satan,1930,1930-09-20,"Comedy, Drama, Musical",116,USA,English,6.5,$ 980000,$ 1005
tt0021309,Le roman de Renard,1937,1948-03-16,"Animation, Adventure, Comedy",63,France,French,7.8,,$ 2094
tt0021577,L'âge d'or,1930,1930-12-01,"Comedy, Drama",60,France,French,7.3,,$ 32712
