original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating
The Kid,1921,"Comedy, Drama, Family",68,USA,"English, None",83.0,0.026916000000000002,100.0
A Woman of Paris: A Drama of Fate,1923,"Drama, Romance",82,USA,"None, English",70.0,0.011233,92.0
The Gold Rush,1925,"Adventure, Comedy, Drama",95,USA,"English, None",82.0,0.026916000000000002,100.0
Metropolis,1927,"Drama, Sci-Fi",153,Germany,German,83.0,1.3497109999999999,97.0
Sunrise: A Song of Two Humans,1927,"Drama, Romance",94,USA,English,81.0,0.121107,98.0
Wings,1927,"Drama, Romance, War",144,USA,English,75.0,0.0007459999999999999,93.0
The Circus,1928,"Comedy, Romance",72,USA,English,81.0,0.026916000000000002,96.0
City Lights,1931,"Comedy, Drama, Romance",87,USA,English,85.0,0.046008,98.0
Dracula,1931,"Drama, Fantasy, Horror",75,USA,"English, Hungarian, Latin",75.0,0.085204,92.0
Dr. Jekyll and Mr. Hyde,1931,"Horror, Sci-Fi",98,USA,English,76.0,0.016614999999999998,90.0
Freaks,1932,"Drama, Horror",64,USA,"English, German, French",79.0,0.004072,95.0
The Old Dark House,1932,"Comedy, Horror, Thriller",72,USA,English,71.0,0.034649,96.0
Duck Soup,1933,"Comedy, Musical, War",69,USA,English,78.0,0.1038,92.0
42nd Street,1933,"Comedy, Musical, Romance",89,USA,English,74.0,0.0016,96.0
The Invisible Man,1933,"Horror, Sci-Fi",71,USA,English,77.0,0.027105,94.0
King Kong,1933,"Adventure, Horror, Sci-Fi",100,USA,English,79.0,0.000651,98.0
L'Atalante,1934,"Comedy, Drama, Romance",89,France,"French, Russian",78.0,0.009505,100.0
The Gay Divorcee,1934,"Comedy, Musical, Romance",107,USA,"English, French, Italian",75.0,0.006750000000000001,93.0
Treasure Island,1934,"Adventure, Family",110,USA,English,71.0,4.95732,100.0
Twentieth Century,1934,"Comedy, Romance",91,USA,"English, German",74.0,0.0098,86.0
The 39 Steps,1935,"Mystery, Thriller",86,UK,English,76.0,0.05171099999999999,96.0
A Night at the Opera,1935,"Comedy, Music, Musical",96,USA,"English, Italian",79.0,3.9567,98.0
Roberta,1935,"Comedy, Musical, Romance",106,USA,"English, French, Russian",71.0,0.002493,86.0
Fury,1936,"Crime, Drama, Film-Noir",92,USA,English,79.0,0.011712,100.0
